user,location,timezone,loc,text
180728640,,Eastern Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
3183397512,"California, USA",Pacific Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
21327648,,Eastern Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
885345578565206016,,,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
903092208856793089,Mordor,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
773945672290697216,,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
2558835048,We have a great President. Thank_You_My_Freinds,Eastern Time (US & Canada),,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
368703397,"Roanoke, VA",,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
809956042524266496,,Pacific Time (US & Canada),,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
117257606,United States,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
584173136,ut,Mazatlan,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
534113858,,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
3183397512,"California, USA",Pacific Time (US & Canada),,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
763925259116355584,"Anchorage, Alaska, USA",Alaska,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
300397169,USA,Eastern Time (US & Canada),,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
818515394646384641,,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
902494045,,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
166641488,The Great State of Texas,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
746437307448827905,"aba,abia. nigeria ",,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
171469093,東京都在住,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
852754940317519872,"Harare, Zimbabwe",Pacific Time (US & Canada),,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
762341258689966080,United States,,,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
534113858,,,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
116136264,Galt's Gulch,Eastern Time (US & Canada),,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
106008159,"Seattle, WA",,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
787525297138794496,,,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
864201588092444672,,,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
312351684,"Montgomery Village, MD",Eastern Time (US & Canada),,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
883792030085808128,,,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
878393674526339072,"Florida, USA",,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
888324771909218304,,,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
422650814,"Gulfport, MS",,,RT @realDonaldTrump: A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to the…
